item_id,item_name,item_category,item_subcategory,item_price,item_rating_avg,item_description,stock_quantity,launch_date
45,Reiciendis Magni,Ev & Yaşam,Doloribus,719.73,4.09,"Reprehenderit culpa quo quisquam. Illo distinctio tenetur quis cumque quia ducimus. Eum quam aspernatur odit aperiam.
Dignissimos dolores ratione aspernatur laborum maxime laudantium.",412,2024-10-03
46,Similique Delectus,Oyuncak,Harum,82.77,3.9,Sit suscipit dignissimos alias. Ratione reprehenderit illum illo. Id soluta voluptas expedita ullam voluptatum.,975,2024-12-09
47,Possimus Quae,Ev & Yaşam,Quisquam,917.87,4.63,Facere consectetur eaque. Vel placeat debitis temporibus fuga tempora. Sint ullam quis minima eveniet. Atque a quaerat.,805,2025-03-12
48,Error Dolor,Kozmetik,Voluptate,484.63,3.55,"Dolores placeat quidem recusandae error eum pariatur. Cumque porro non suscipit itaque. Nobis atque exercitationem dignissimos.
Consectetur perferendis eligendi.",298,2024-07-09
49,Adipisci Nam,Mobilya,Voluptatibus,206.57,4.14,"Nam eligendi occaecati hic. Quisquam nobis molestias aspernatur debitis accusantium.
Molestias tempore repellat laudantium quis. Libero animi perferendis nam omnis modi aliquid.",623,2024-09-16
50,Commodi Placeat,Kozmetik,Soluta,551.82,3.98,"Porro iste ex itaque odit eum perspiciatis. Vel veritatis fugiat at.
Ipsa sequi soluta a. Illo ipsa tempora sit optio.",520,2024-05-09
51,Nesciunt Praesentium,Ev & Yaşam,Ipsa,786.18,3.92,Perferendis illo numquam sit error. Consequatur mollitia unde ut quia voluptatem molestiae. Adipisci iure molestiae adipisci quis cumque aliquam temporibus.,239,2024-08-20
52,Excepturi Eum,Mobilya,Quasi,132.11,4.35,"Consequuntur delectus officiis ipsum.
Fuga doloremque aperiam magni a deserunt. Error reiciendis aliquid explicabo optio adipisci.",807,2024-12-02
53,Facilis Non,Spor,Voluptate,122.56,4.62,"Voluptates at officiis iusto. Voluptate fuga neque saepe officiis dolor. Neque praesentium fugiat officia neque laudantium.
Ea dicta vitae. Asperiores dolorum atque rerum aperiam incidunt.",228,2024-06-14
54,Error Quibusdam,Bahçe,Id,93.84,4.49,"Libero est laborum possimus ipsum sed. Fuga dolorem ab fugiat sunt veritatis.
Consequuntur dolor recusandae ducimus asperiores. Illum deserunt quos at nulla vero voluptas.
Nemo neque hic facere.",194,2024-12-31
55,Expedita Eaque,Bahçe,Illo,656.92,4.74,"Nobis iste blanditiis rem. Et ratione nemo non impedit ducimus facere.
Maxime beatae mollitia quisquam praesentium aperiam. Occaecati quis placeat autem sunt consectetur.",293,2024-03-21
56,Ut Sint,Kozmetik,Sapiente,483.64,4.7,"Impedit perspiciatis reprehenderit inventore iure illum. Maiores fugiat facere quae ipsam laboriosam.
Reprehenderit sed hic occaecati. Amet minima quod possimus. Quo ipsam odio.",64,2024-05-03
57,Culpa Harum,Kozmetik,Porro,756.29,4.14,"Quidem dolores assumenda eius fuga. Aut vel quasi accusamus.
Quidem quae officia fugit magnam id fuga. Accusantium incidunt et qui maiores id. Molestias rem corporis iure amet.",452,2024-11-23
58,Ipsum Officiis,Ev & Yaşam,Ullam,755.31,4.06,"Hic non repellendus vitae dolor inventore modi. Voluptatem in ab vero adipisci maiores.
Blanditiis pariatur beatae velit sint temporibus vitae. Excepturi ratione et eos hic. Dolorum odit ipsum velit.",440,2024-06-09
59,Veritatis Inventore,Mobilya,Aut,128.9,4.59,"Assumenda eos libero laboriosam ex. Odio fugit corrupti ab.
Harum exercitationem minima harum. Hic aliquam ipsam natus in totam. Error maxime corrupti impedit dignissimos.",396,2024-08-02
60,Ad Ad,Bahçe,Ratione,991.43,3.56,"Vitae reiciendis ex. Laudantium deleniti earum et. Aperiam quidem blanditiis architecto.
Harum numquam eos sequi. Quisquam repellat aliquid sed eum dignissimos saepe.",378,2025-02-02
61,Doloribus Iusto,Spor,Ipsam,311.07,3.86,Reiciendis molestiae sint a tempora sunt. Ipsum natus a asperiores accusamus architecto occaecati.,963,2024-10-23
62,Nulla Itaque,Kitap,Iste,674.7,4.36,Pariatur eius debitis dolorem voluptate ea iste. Nulla ea quis aliquam molestiae.,386,2024-04-18
63,Odio Dolore,Gıda,Esse,511.03,3.61,Sed delectus repudiandae asperiores sapiente. Aperiam voluptates asperiores odit ullam placeat pariatur.,277,2025-01-21
64,Est Incidunt,Giyim,Ad,323.06,3.84,Exercitationem officia repellat iste ratione architecto. Tempore nisi recusandae blanditiis. Repudiandae voluptatem quos soluta.,98,2025-01-21
65,Deserunt Minus,Kitap,Quasi,602.93,4.01,Recusandae quia repudiandae similique sequi ducimus error. Quisquam numquam nam pariatur blanditiis officia.,572,2024-10-05
66,Earum At,Ev & Yaşam,Eius,924.04,3.93,Cum ducimus expedita sed harum consequuntur possimus. Pariatur sunt aliquid inventore quibusdam laborum incidunt at. Adipisci voluptatem alias temporibus laudantium.,824,2025-03-01
67,Id Blanditiis,Ev & Yaşam,Placeat,679.93,3.57,"Voluptate atque asperiores velit quas qui facere. A id eveniet neque nesciunt delectus doloribus.
Asperiores similique unde incidunt. Officia occaecati ipsam.",770,2024-10-20
68,Blanditiis Dicta,Mücevher,Nihil,229.98,4.75,Voluptatem aut quod in asperiores molestiae. Et vitae praesentium consequatur laborum optio illo. Quis ullam minus consequuntur repellendus.,237,2024-08-19
69,Nulla Vel,Spor,Aut,723.21,4.14,Omnis voluptate atque vitae quas autem at. Saepe recusandae provident distinctio. Consectetur reiciendis enim nihil repellat repellat. Tempora illo deserunt ut voluptates vero dicta beatae.,414,2025-01-24
70,Saepe Earum,Spor,Quasi,721.88,4.39,Dolore sapiente repellat quis optio blanditiis. Iste magni molestias expedita placeat quaerat nemo. Sunt asperiores eos.,185,2024-06-15
71,Necessitatibus Asperiores,Mobilya,Temporibus,570.75,4.12,"Aliquid ipsam impedit accusantium dolorem. Consectetur pariatur magni fugiat corporis labore.
Veniam cum ea. Delectus illo hic laboriosam. Ratione sapiente aperiam alias at.",970,2025-02-22
72,Rem Ipsam,Otomotiv,Optio,134.11,3.65,"Rerum cumque aperiam. Consectetur voluptatem harum necessitatibus voluptatibus fugiat. Reprehenderit repellendus molestias quos commodi.
Pariatur occaecati neque accusantium repellat id dolore.",881,2024-03-19
73,Laboriosam Quod,Otomotiv,At,347.44,3.81,"Eius ducimus esse aperiam rerum voluptatum.
Accusamus quibusdam praesentium consequuntur alias quas quam nulla. Iure expedita expedita. Voluptatibus officiis expedita quae modi pariatur atque.",653,2025-02-14
74,Ipsam Fuga,Giyim,Reiciendis,656.01,3.58,"Mollitia eaque distinctio minus. Adipisci autem vero cum iure delectus molestias.
Facilis eum quas modi provident. Nostrum accusamus iure fugit.",350,2024-06-13
75,Accusantium Quia,Ev & Yaşam,Similique,564.68,4.45,"Sit magnam doloremque nemo tempore ipsa mollitia. Ratione commodi harum hic exercitationem. Cumque qui amet facilis magni.
Tenetur earum sunt assumenda itaque.",706,2024-07-21
76,Commodi Atque,Ev & Yaşam,Quisquam,445.58,4.36,"Possimus quaerat eius at a et. Tempora ipsum quidem blanditiis dolore necessitatibus.
Fugit harum ipsum porro ea dolor facere. Eos quo maxime assumenda ullam.",492,2024-07-29
77,Unde Ea,Kozmetik,Id,600.7,3.6,Blanditiis temporibus modi reiciendis a distinctio voluptatibus natus. Quas voluptate reiciendis nemo eligendi.,140,2024-03-27
78,Architecto Consequuntur,Spor,Voluptatibus,181.65,3.97,Quo ipsa repellat cumque doloremque velit minima. Doloremque nulla hic.,816,2024-03-28
79,Velit Unde,Ev & Yaşam,Doloremque,778.29,4.73,"Autem quis voluptatibus. Eaque quisquam doloremque tempora hic iste.
Perferendis corrupti suscipit aliquid. Accusamus doloribus sequi. Deleniti sequi corrupti maxime voluptatem perspiciatis beatae.",948,2024-11-30
80,Dolorum Omnis,Giyim,Maiores,360.63,3.62,"Sit beatae placeat similique consequuntur laboriosam fuga. Sunt tempora ratione. Dolorem eius molestiae aspernatur veniam.
Labore voluptates molestias repudiandae.",773,2024-06-20
81,Molestias Cumque,Spor,Placeat,322.09,3.79,Consectetur at occaecati modi cum ullam quaerat eveniet. Libero repellendus quidem quasi maxime accusantium. Optio corrupti unde nobis vero repellat.,819,2025-01-16
82,Eum A,Mücevher,Voluptatem,823.92,3.72,"Impedit minus facilis nulla.
Quam neque fugiat ad. Itaque beatae explicabo est officiis.",907,2025-01-25
83,Necessitatibus Nulla,Bahçe,Facere,991.17,4.68,Necessitatibus ex sunt nisi ullam vitae occaecati. Esse atque quam aut. Natus nemo assumenda nam pariatur. Reiciendis sit dolores quia commodi similique commodi.,404,2024-10-17
84,Ab Recusandae,Gıda,Sed,306.19,3.67,"Doloribus suscipit debitis officiis quis quae quia.
Suscipit eius deserunt earum tempore. Doloremque provident itaque. Autem consectetur nostrum voluptatem.",324,2025-02-26
85,Praesentium Necessitatibus,Kozmetik,Magnam,112.2,4.3,Eaque reprehenderit similique neque praesentium sunt voluptas. Sed odio doloribus nam suscipit ullam architecto minima. Quisquam asperiores consequuntur ab facere. At eius assumenda delectus.,790,2024-07-14
86,Eaque Facere,Gıda,Quam,313.67,4.4,"Sapiente doloremque assumenda dolorem ex quia. Culpa possimus id nostrum magni quo.
A amet repellat hic nemo aliquam quis. Iusto commodi repudiandae mollitia fuga odit perferendis.",293,2024-12-13
87,Doloremque Est,Ev & Yaşam,Voluptatum,188.1,4.8,"Corrupti unde magnam nesciunt. Autem fuga eligendi sequi aspernatur sint ratione. Tempora vel commodi quidem nihil ipsum.
Nam quaerat necessitatibus nobis. Ullam tenetur modi porro debitis.",832,2025-03-15
88,Temporibus Blanditiis,Mobilya,Laboriosam,345.22,3.65,"Eos officia optio. Tenetur earum ipsam repellendus.
Similique minus aperiam ducimus distinctio.
Ab nostrum adipisci pariatur natus explicabo. Veniam tempora aspernatur dolorum facilis.",820,2024-06-05
89,Id Dolorem,Mücevher,Laborum,988.3,4.36,"Minus praesentium dolorem. Voluptatum voluptatem dolor reiciendis explicabo perspiciatis. Nesciunt voluptas architecto labore qui debitis ipsum.
Dolorem exercitationem perferendis facere modi.",404,2024-11-05
90,Cupiditate A,Elektronik,Doloribus,197.65,4.04,"Similique debitis corrupti animi deserunt dolorum aperiam eveniet. Delectus rem amet quasi est deleniti quis incidunt. Sunt maiores ipsum minima.
Veniam vitae porro enim unde.",179,2024-04-06
91,Vel Impedit,Mobilya,Voluptatum,280.74,4.62,"At eligendi odit consequatur laudantium vel adipisci. Aliquam amet amet quasi.
Natus iste cum omnis. Tempora eum dolorem nesciunt fugiat officia.",345,2025-02-18
92,Autem Provident,Mobilya,Fugiat,93.74,3.69,Culpa quam minus voluptatum iusto voluptatibus non. Officiis quae occaecati recusandae. Praesentium totam asperiores pariatur rerum maiores omnis sequi. Quae voluptate pariatur amet maiores autem.,872,2024-09-01
93,Repudiandae Voluptate,Kitap,Sint,976.46,3.97,Est quas fuga officia praesentium. Reprehenderit cupiditate vitae pariatur enim impedit doloribus.,213,2024-12-25
94,Ducimus Ut,Oyuncak,Sapiente,816.0,3.65,"Accusamus excepturi quasi commodi.
Quidem ab perspiciatis asperiores assumenda accusantium cupiditate. Nihil sed optio magni vitae.",10,2025-01-01
95,Sunt Provident,Ev & Yaşam,Beatae,291.55,3.76,"Quis blanditiis unde est non vel molestias. Magni sequi ipsum. Quaerat minima rem.
Doloribus error libero hic ipsum delectus sunt. Magnam molestiae optio ducimus totam nulla tenetur.",881,2024-06-17
96,Repellat Eum,Kozmetik,Provident,247.27,4.61,"Ab dolore autem eaque maxime modi. Optio cum quia architecto.
Sequi perspiciatis tenetur magnam. Laborum accusamus nemo iure deserunt laboriosam.",462,2024-04-30
97,Iusto Saepe,Gıda,Maxime,498.97,4.23,Veniam nisi porro hic. Dolor architecto ullam rerum. Ad corporis vel porro dolorem dolor ducimus. Voluptas adipisci quos voluptatum quasi labore.,558,2024-03-21
98,Tempore Sequi,Kozmetik,Nam,904.51,3.57,Consectetur iusto fugiat voluptatum eaque sed et. Sapiente voluptates expedita quod corrupti eum sint. Odio tempore quam mollitia ipsam praesentium quasi.,183,2025-02-08
99,Dicta Maiores,Oyuncak,Aliquid,336.35,4.44,Deleniti quasi quod eligendi perferendis eius. Amet maxime fuga maxime eos in quibusdam. Numquam minima cupiditate quod aperiam.,257,2024-12-02
100,Quasi Velit,Mücevher,Veniam,645.51,4.76,Omnis possimus suscipit aspernatur. Numquam voluptas doloremque temporibus dolore omnis. Corporis at recusandae ullam vero.,831,2024-05-11
101,Cumque Reiciendis,Spor,Quos,796.44,3.74,"Commodi quaerat debitis. Quia exercitationem cupiditate sint.
Fuga dolores maiores libero earum quisquam illo. Quo cupiditate saepe ex occaecati quam aliquid id.",237,2024-07-05
102,Impedit Dolorem,Spor,Eum,166.46,4.79,Deserunt dolores culpa maiores voluptatum. Blanditiis perspiciatis labore voluptas sint magnam voluptas.,984,2024-12-16
103,Quidem Aperiam,Otomotiv,Accusamus,714.45,4.51,"Necessitatibus alias id. Impedit veritatis asperiores asperiores. Eos laboriosam vero temporibus alias eaque esse.
Repellat aperiam fugit cupiditate. Voluptatibus omnis praesentium debitis.",332,2024-08-03
104,Iusto Ea,Kitap,Amet,862.46,3.87,"Minus quia laudantium tempore atque nesciunt. Ipsum natus ullam vitae.
Porro architecto nihil velit. Eaque at in ea dignissimos nisi.",65,2024-11-20
105,Aliquid Quos,Otomotiv,Vitae,662.32,4.33,Natus tempore nulla placeat corrupti. Odit velit error. Blanditiis soluta nostrum incidunt maxime suscipit cumque veritatis.,223,2025-01-09
106,Exercitationem Voluptates,Spor,Architecto,364.28,3.68,"Perspiciatis at aspernatur quam quam. Suscipit a nam iusto asperiores.
Temporibus impedit nostrum totam. Error dolore dignissimos perspiciatis consequatur. Nam pariatur rem ipsum labore hic corporis.",586,2024-11-22
107,Nesciunt Esse,Ev & Yaşam,Facilis,837.73,4.69,"Ex voluptate dolorem praesentium quidem a. Temporibus quam est ratione a.
Vitae quis ad nemo doloremque est ipsum accusamus. Necessitatibus suscipit doloribus ex.",190,2024-05-01
108,Ducimus Earum,Ev & Yaşam,In,663.65,3.55,"A ea quisquam sunt. Laudantium amet aliquam distinctio officia. Dolor illum deleniti.
Amet porro inventore earum harum veniam.",221,2024-11-03
109,Provident Dolor,Mobilya,Ex,440.4,4.46,"Deserunt delectus nobis. Sunt quisquam temporibus at. Aperiam aperiam autem accusamus saepe.
Consequuntur unde a. Nemo illum temporibus omnis itaque deleniti hic tempora.",844,2024-06-02
110,Minima Eum,Mücevher,Optio,541.5,4.64,"Quo deleniti libero fugit. Sunt fuga animi quaerat cum magnam consequatur rem.
Modi libero veniam eos. Repellat minus nam odio dignissimos. Dicta ullam iure. Eum animi ab accusantium.",380,2025-02-11
111,Iste Atque,Kozmetik,Quis,183.25,4.23,"Cupiditate autem aspernatur dolore quasi.
Commodi a labore blanditiis. Et incidunt necessitatibus quam suscipit amet nostrum. Culpa cumque aperiam a sunt modi.",962,2024-08-05
112,Molestias Aspernatur,Giyim,Cum,944.31,4.21,Accusamus molestias nihil nesciunt placeat repellat quo. Perferendis autem dolorem voluptates quisquam ad rem. Delectus a nesciunt soluta animi ipsam quasi quo.,603,2025-01-10
113,Dolores Asperiores,Otomotiv,Vel,167.21,4.55,Exercitationem reiciendis aliquid aut maxime accusamus cumque. Voluptatum impedit consectetur. Dolorum placeat eveniet veniam deserunt tempore mollitia.,277,2024-04-18
114,Porro Ex,Otomotiv,Maxime,37.12,4.75,"Eveniet deserunt officia cupiditate.
Sequi tempora excepturi adipisci fugit voluptatem nulla. Totam nam et deleniti deleniti saepe quaerat. Ipsum vel dolores facilis vero deleniti vel.",714,2024-11-03
115,Consequuntur Libero,Elektronik,Voluptatibus,868.28,4.45,Sunt necessitatibus praesentium repellat accusamus at at. Occaecati accusantium ipsum nostrum. Maiores quam iusto a vel possimus.,475,2024-07-04
116,Placeat Illum,Elektronik,Dolorum,506.98,4.73,"Quae distinctio praesentium culpa. Fugit qui excepturi qui ea quia placeat.
Tempora quae incidunt maxime minus mollitia expedita. Perspiciatis consectetur explicabo in alias.",733,2024-12-24
117,Ratione Cupiditate,Kozmetik,Mollitia,276.91,4.37,Adipisci nam sunt possimus laboriosam. Similique incidunt adipisci esse eos quis ullam. Quod ipsam beatae quisquam ullam saepe sequi earum.,928,2025-02-11
118,Quo Aperiam,Ev & Yaşam,Commodi,747.5,4.57,"Nulla eligendi doloremque tempora quasi. Cum quaerat assumenda.
Laboriosam harum assumenda hic. Doloremque voluptas assumenda vitae quaerat. Eaque quaerat velit a nisi occaecati cum.",998,2024-09-08
119,Dolorem Exercitationem,Kitap,Saepe,541.78,4.71,Nobis nobis pariatur vel. Consectetur laborum dicta. Sequi harum veniam.,89,2024-06-04
120,Magni Veritatis,Kozmetik,Soluta,73.26,3.84,"Quia quod velit facere eos. Totam amet nesciunt aut eius quo.
Ratione rem quos temporibus ea accusamus. Ullam ex reprehenderit ad itaque voluptatibus. Debitis deleniti accusamus fugit molestiae.",881,2024-09-11
121,Reprehenderit Eos,Oyuncak,Autem,725.23,4.41,"Dignissimos hic debitis et rerum dicta reiciendis tempore. Tenetur sequi quo perspiciatis aliquid.
Maiores dolore neque. Modi sit impedit labore sint. Odit in nobis dolorum consequuntur odio.",603,2024-03-31
122,Sint Laborum,Gıda,Aliquam,90.27,4.24,"Assumenda id autem doloremque sapiente consequuntur quia eligendi. Quas iure sapiente reprehenderit reiciendis et nisi.
Quos sit adipisci facilis ullam. Culpa ullam natus.",30,2025-02-23
123,Reiciendis Voluptate,Otomotiv,Numquam,290.83,3.96,"Cupiditate explicabo repellat reiciendis architecto sunt.
Laboriosam voluptas necessitatibus neque maxime fugit perferendis quam.
Aut ullam ipsum velit.",414,2024-11-08
124,Illo Animi,Kitap,Blanditiis,398.43,3.94,Voluptate unde perferendis distinctio possimus laboriosam praesentium. Perspiciatis fugiat perferendis laboriosam nisi maiores mollitia.,241,2024-09-27
125,Provident Quas,Oyuncak,Error,368.7,4.79,Repudiandae consequuntur quibusdam pariatur exercitationem minus. Molestias sapiente debitis voluptas tenetur natus culpa architecto.,798,2024-11-06
126,Dolor Exercitationem,Ev & Yaşam,Voluptatum,300.13,4.48,"Eaque hic temporibus architecto dolore. Animi optio in maiores temporibus veritatis voluptatem. Repellat quasi in.
Alias ea voluptatum omnis nobis consequuntur. Saepe doloremque cum.",963,2024-06-25
127,Rerum Doloremque,Giyim,Laudantium,185.5,4.78,"Ad vitae unde voluptas aspernatur provident. Quibusdam debitis beatae facilis praesentium quasi. Eaque soluta asperiores optio sunt cupiditate.
Eveniet harum sint. Quidem non quas magnam.",849,2025-03-09
